,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
176,177,C07G2.3b.2,1.14713461951048e-06,0.000137027498645819,-6.122355817435441,1.2585639046027601,4.3121971658079,8.26186971196038,0.975944962115024,1.40002969083841,0.0814316761226897,1.40002969083841,WBGene00000380,cct-5
476,477,R31.2b.1,9.23912473807635e-05,0.004095237197843779,-5.67983193701177,1.45273489350607,2.0385390980534197,6.61683983357266,2.70766004213619,-0.897735019076745,0.457997964078954,0.457997964078954,WBGene00011270,R31.2
1611,1612,F07C6.4c.1,0.00520440920146744,0.0681764707228167,-5.54033948156407,1.9828695850534999,2.9350616866357004,8.987454282645981,2.56527451693586,3.33238317005952,0.223151747391674,3.33238317005952,WBGene00008555,F07C6.4
1495,1496,F42A10.7.2,0.00416614127983915,0.0588408317165259,-5.288600781484099,1.84574057637678,2.82309228897801,7.80507491324018,0.9972722716856041,4.11286514123994,0.24381447400341,4.11286514123994,WBGene00018343,F42A10.7
1401,1402,Y69A2AR.7b.1,0.00346534008148368,0.052343610671965995,-5.24134163547865,1.79305921697222,3.8434912726056405,8.02518348667184,1.52060015897479,3.30199187437877,0.11257977519803901,3.30199187437877,WBGene00022078,epg-9
1237,1238,ZC376.7b.1,0.0023432522963691897,0.0400188879661825,-5.23539221568731,1.7205381264258799,1.88106712688448,7.192153025964661,2.8599385224838705,1.58043864424377,0.5205563167513,1.58043864424377,WBGene00013878,atfs-1
116,117,C07G2.3b.1,1.33218078655786e-07,2.40737592907631e-05,-5.18847392795639,0.9837157673751329,2.3538444910220804,5.87663046950143,0.675091375430294,0.776453691043376,0.354770946033561,0.776453691043376,WBGene00000380,cct-5
1230,1231,T01C8.5.1,0.00229208523657887,0.0393676345710699,-5.0397994645771504,1.65265417526695,3.2598137610719706,6.537178548926799,3.33983286727211,0.7570658672688142,0.17292169928211998,0.7570658672688142,WBGene00020146,got-1.2
456,457,F09F7.5c.2,7.658918506298659e-05,0.00353564441001468,-5.01646839911467,1.26844106354989,1.9451427682833897,4.6477771181266,1.91929155859527,-0.7160646542357301,0.49412253895408703,0.49412253895408703,WBGene00017302,F09F7.5
616,617,K05B2.2b.2,0.00024395228042001202,0.00835961598852562,-4.81294268088238,1.31195522246719,2.58481285049914,6.208926099966919,2.28711412125552,-0.108727846101708,0.294725637382893,0.294725637382893,WBGene00019403,K05B2.2
531,532,C37A2.5c,0.000132397886037178,0.0052618204971504896,-4.80291675168684,1.25666493372198,3.32816220186111,5.39995245510373,2.20485194276364,-1.8428746052226201,0.16395819070607098,0.16395819070607098,WBGene00004111,pqn-21
1239,1240,C56C10.13b,0.00235646993367604,0.0401797127481552,-4.6556168654866505,1.5308548983188701,5.12670875536426,7.687540628288269,0.916616912475003,2.5986581670853304,0.048406197634319005,2.5986581670853304,WBGene00001026,dnj-8
1229,1230,ZK1128.6b.1,0.0022897847582861,0.0393600968654009,-4.40431353929752,1.44412240354168,3.74682562587687,10.3146700017714,1.6193236018701398,1.50891067274634,0.12047678613538199,1.50891067274634,WBGene00014232,ttll-4
1290,1291,R05G6.10e,0.00275002666873239,0.0450236340577967,-4.20693550628844,1.4049434819811601,2.63867902823208,4.81978439718988,2.6784824507561202,-1.7031154183198203,0.28231683058588697,0.28231683058588697,WBGene00019902,R05G6.10
